Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot Cases/1M pop
Barbados,5,0,0,0,0,5,0,17
Saint Martin,4,1,0,0,0,4,0,103
Suriname,4,3,0,0,0,4,0,7
Namibia,3,0,0,0,0,3,0,1
Madagascar,3,3,0,0,0,3,0,0.1
Gabon,3,0,1,1,0,2,0,1
CAR,3,2,0,0,0,3,0,0.6
Bahamas,3,0,0,0,0,3,0,8
Curaçao,3,0,1,0,0,2,0,18
St. Barth,3,0,0,0,0,3,0,304
Cayman Islands,3,0,1,0,0,2,0,46
Congo,3,0,0,0,0,3,0,0.5
U.S. Virgin Islands,3,0,0,0,0,3,0,29
Isle of Man,2,1,0,0,0,2,0,24
Haiti,2,2,0,0,0,2,0,0.2
New Caledonia,2,0,0,0,0,2,0,7
Mauritania,2,0,0,0,0,2,0,0.4
Liberia,2,0,0,0,0,2,0,0.4
Saint Lucia,2,0,0,0,0,2,0,11
Bermuda,2,0,0,0,0,2,0,32
Bhutan,2,1,0,0,0,2,0,3
Sudan,2,0,1,0,0,1,0,0.05
Zambia,2,0,0,0,0,2,0,0.1
Guinea,2,1,0,0,0,2,0,0.2
Greenland,2,0,0,0,0,2,0,35
Benin,2,0,0,0,0,2,0,0.2
Antigua and Barbuda,1,0,0,0,0,1,0,10
Nicaragua,1,0,0,0,0,1,0,0.2
Montserrat,1,0,0,0,0,1,0,200
Angola,1,1,0,0,0,1,0,0.03
Eswatini,1,0,0,0,0,1,0,0.9
St. Vincent Grenadines,1,0,0,0,0,1,0,9
Gambia,1,0,0,0,0,1,0,0.4
Fiji,1,0,0,0,0,1,0,1
Sint Maarten,1,0,0,0,0,1,0,23
Papua New Guinea,1,1,0,0,0,1,0,0.1
Somalia,1,0,0,0,0,1,0,0.06
Niger,1,0,0,0,0,1,0,0.04
El Salvador,1,0,0,0,0,1,0,0.2
Nepal,1,0,0,0,1,0,0,0.03
Chad,1,0,0,0,0,1,0,0.06
Djibouti,1,0,0,0,0,1,0,1
Vatican City,1,0,0,0,0,1,0,1248
Cabo Verde,1,1,0,0,0,1,0,2
